TSN,FormID,FoliageID,ScientificName,CrownShapeFactor,FlammID,PDFoliage,PDWood,PDRotten,TreeBD,SV,treeBioEqID,shrubBioEqID,treeCrownDensity,HCFoliage,HCWood,canopy,shrub,nonwoody,woody,acceptedTSN,CommonName
23594,2,4,Vaccinium fuscatum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,2357,black highbush blueberry
23597,2,4,Vaccinium hirsutum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,hairy blueberry
23599,2,5,Vaccinium macrocarpon,0.5,1,25.0,21.85,18.72,0.01,2500.0,,24.0,0.6,8000.0,8000.0,0,1,0,1,0,cranberry
23601,2,4,Vaccinium membranaceum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,thinleaf huckleberry
23603,2,5,Vaccinium myrsinites,0.5,1,25.0,25.0,18.72,0.01,2500.0,,8.0,0.6,8000.0,8000.0,0,1,0,1,0,shiny blueberry
23604,2,7,Vaccinium myrtilloides,0.5,2,25.0,21.85,18.72,0.01,3000.0,,8.0,0.6,8000.0,8000.0,0,1,0,1,0,velvetleaf huckleberry
23605,2,7,Vaccinium myrtillus,0.5,2,25.0,21.85,18.72,0.01,3000.0,,8.0,0.6,8000.0,8000.0,0,1,0,1,0,whortleberry
23607,2,4,Vaccinium ovalifolium,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,oval-leaf blueberry
23608,2,6,Vaccinium ovatum,0.5,2,25.0,21.85,18.72,0.01,2000.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,California huckleberry
23610,2,7,Vaccinium pallidum,0.5,2,25.0,21.85,18.72,0.01,3000.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,Blue Ridge blueberry
23612,2,4,Vaccinium parvifolium,0.5,1,25.0,25.0,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,red huckleberry
23613,2,7,Vaccinium scoparium,0.5,2,25.0,21.85,18.72,0.01,3000.0,,8.0,0.6,8000.0,8000.0,0,1,0,1,0,grouse whortleberry
23614,2,4,Vaccinium simulatum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,2357,upland highbush blueberry
23615,2,4,Vaccinium stamineum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,deerberry
23616,2,7,Vaccinium tenellum,0.5,2,25.0,21.85,18.72,0.01,3000.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,small black blueberry
23618,2,4,Vaccinium calycinum,0.5,1,25.0,25.0,18.72,0.01,2500.0,,27.0,0.6,8000.0,8000.0,0,1,0,1,0,ohelo kau la'au
23622,2,6,Vaccinium reticulatum,0.5,2,25.0,21.85,18.72,0.01,2000.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,ohelo 'ai
23626,3,5,Arbutus arizonica,0.5,2,25.0,45.4,18.72,0.06,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,Arizona madrone
23627,1,5,Arbutus menziesii,0.5,1,25.0,30.13,18.72,0.06,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,Pacific madrone
23629,3,5,Arbutus unedo,0.5,2,25.0,30.13,18.72,0.06,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,strawberry tree
23634,2,7,Calluna vulgaris,0.5,2,25.0,21.85,18.72,0.01,3000.0,,21.0,0.6,8000.0,8000.0,0,1,0,1,0,heather
23637,2,6,Chamaedaphne calyculata,0.5,2,25.0,21.85,18.72,0.01,2000.0,,24.0,0.6,8000.0,8000.0,0,1,0,1,0,leatherleaf
